text,index
나 기초템 다 이니스프리거잖어 좋아 저거 그린티 세럼 저거 좋아 써봤삼,1
센조 차영 분위기 뭐야 뭐야 나 촉 되게 좋아 풀버전 감상 매주 토일 밤 시 방송 빈센조 토일드라마 송중기 전여빈 옥택연 유재명 김여진 곽동연,1
연경이 언니 너무 좋다 힘쎄고 털털하고 남 잘 챙기고 연봉 몇억이죠 했더니 피식 웃으면서 그렇게밖에 안 될 거 같아 하고 웃고 게다가 오늘은 만날래 안그래도 요즘 외로운데 그냥 세상 전부 다 가지실 거 같은데여,1
이 새끼 왜 자꾸 말을 하다 말죠,1
화련 좋아,1
마마 오프닝을 장식한 카이 년을 풍비박산 내버린 아이돌그룹 엑소의 센터로서 마마의 문을 열었다네 앞에 있는 장막이나 앵글 연출 뭐 딱히 훌륭한 건 아니지만 카이는 잘추고 또 여러모로 의미 있는 무대라 가,1
빡치는거야 물론 우리가 지금 아무리 열렬히 사랑하더라도 언젠가 마음이 식을순있어 그정돈 서율도 알아 근데 지금 당장은 당장의 감정에 집중하잔 말이야 김성룡 너 나 사랑하잖아 아니야 물어보면 맞대 좋아 죽겠대 근데 넌 왜 맨,1
사랑의 콜센타 임영웅 임영웅 진짜 너무 좋아 어떡하지,1
여기 챡챡챡 하는 느낌의 안무 너무 좋아,1
복햊 둘이 눈빛 주고받는게 너무 좋다 학 로서도 롬줄로서도 너무 좋았어,1
나는 그냥 다 좋아 나는그냥 다 좋아 니모든게 다 좋아 니모든게 다 좋아 아름다운 너 내것이 되지,1
애들 앨범 꾸미거나 편지 쓸 때 집중하는 거 좋아 아무 말 안 해도 재밌는 방송 정수리 브이앱 많이 보고 싶음,1
오우 이 인터뷰 정말 좋다 영화는 단순히 국가적인 이야기를 하는 것을 넘어서 우리 모두가 공유하는 인간의 자질에 대해 이야기할 수 있다고 믿는다 일정 영역에 도달한 영화에 대해 국적을 따지는 것은 무,1
사실증명을 위해 본인이 임신을 해보시는건 어때요 딱 좋다 그져,1
좋아 뭐하고 있었어,1
아 너무 좋다,1
아 방찬 너무 좋아,1
딱 붙는 바지 너무 좋아,1
현진아 밖에 날씨 좋다 산책이라도 나갔다 오렴,1
그 태생이나 능력에서 기인한 위치를 생각해보았을 때 고죠는 사실 맘만 먹으면 대체로 손에 넣을 수 있는 삶이었을 거란 말임 그래서 딱히 소유에 집착하지 않았을 거 같아 그런 사람이 게토의 처음,1
날티모먼트 좋아 런진이의 평소 스타일과 전혀 반대되는 그런거 좋아 그냥 좋아 런진이가 좋아,1
녹음부스 창미니 좋아,1
잘하는 채연이도 참 좋아 하는데 나는 그냥 채연가 보고싶다 언제나 그냥 마구 사랑해 이채연,1
진짜 여유만 되면 옥정 전관하구 싶다 너무 좋다 너무 좋아,1
그래두 좋다,1
시발 너무 좋아,1
서콰야 막차 노래 너무 좋아 그래서 커버곡로 해주세유,1
최애가 당신에게 전하는 숫자암호 프제님이 전하고 싶은 숫자암호는 입니다 해석은 네이버에 검색하세요 좋아 가자,1
오 좋아,1
눈 뜨자마자 예쁜 웅이 보니 넘 좋아 이 별빛 같은 왕자야,1
책에 뿌리고 봐야지 넘 좋다,1
무대에서 내려와서 몇 안되는 관객분들이랑 같이 즐기는 영타기 바경탁 안 좋아 할수가,1
근데 난 하나코 보다 주황머리가 더 좋아,1
딱 배경화면 하기 좋다,1
오랜만에 옛날에 먹던 만큼 먹엇어 배부르지도 않고 딱 좋다 전엔 매일 이렇게 먹었었는데,1
이번노래 살랑살랑해서 좋다,1
문워크 문빈 진짜 너무 좋다,1
좋아 아 미친 아니 하 미친 아니 하아 짜 개좋아 하 죽겠네 너무좋아 미친 하,1
해의 호흡으로부터 파생된 호흡을 쓰는 미치카츠 그리고 평생 요리이치의 흔적을 지우지 못하는 코쿠 이게 너무 좋아,1
뱀파연금 포도남매 현실남매 바이브가 너무 좋다,1
아슬아슬한 분위기를 젤 좋아하지만 그걸 다 거친 진짜 배우자 모먼트도 좋아 초면에 존대 썼을 거라는 확신이 있기 때문에 초면에 말 까고 씨발씨발할 사람 아니라니까 정재철 그때의 그 아슬아슬 끈,1
몸 상태 안 좋을 때 지금 이시간이면 겨우 첫끼 먹고 잇을 때였는데 참 좋다,1
예당 오페라에서 보다가 블퀘로 오니까 무대 가로길이가 확 좁아 보이는데 그만큼 더 꽉 찬 느낌 나는 건 좋다 사블통인데 소외감 시야는 완전 대 죠 음 중블보다 훨씬 좋은 것 같어,1
오 노래 좋다,1
아 이렇게 조명 음악 무용 그리고 기깔난 연기들이 잘 조화되어 있는 연극 너무 좋아 최고야,1
역시 역키잡의 민족 답게 맛이 좋다,1
잘하는 채연이도 참 좋아 하는데 나는 그냥 채연이가 보고싶다 언제나 그냥 마구 사랑해 이채연,1
감정이 밀려오는것들이 좋다 표정 몸짓 심리표현 주변의 날씨 공기,1
되게 카마보코 곤파치로 발음이 좋아 입에 짝짝붙어,1
눕는게 제일 좋아,1
배우님들 너무 다 귀여우시고 최고시다 눙 성량 진짜 최고다 나 진짜 너무 좋아,1
아가야들 잘 잔다 일요일 좋아,1
날씨 좋다,1
노래 진짜 너무 좋아,1
진짜 발음이 너무 찰져서 좋아,1
생방으로 일러같은걸 그려준다는건가요 지금 일단 뭐든 좋다 그리고 저 남성우분 되게 열심히 하시는게 너무 좋아욬 목소리도 좋아서 요괴워치 메달모으면서,1
참 좋은 자세다 멋지마 좋다 근데 왜 일요일 시간 눈치없네 진짜,1
비가 온다 좋다,1
간지러워 노래 너무 좋다,1
이효민 체력 쓰레기라는게 왤케 좋지 아 존나 좋아 미쳤다,1
오랜만에 귀로 듣는 인사 뭔가 더 기운차구 행복해보이는 느낌이 들었어 너희가 행복해서 너희가 반짝여서 너무 좋다,1
질충쟌 원음 연기 떴어 더빙도 잘 어울렸는데 역시 원음이 제일 좋다,1
집이 좋아 역시,1
허광한 브랜드 활동 직캠 엘르 인텁때 미친텐션 허광한 아주 입찢어지게 빵빵터지면서 웃어 웃는거만 봐도 좋아 죽겠는 사람 허광한,1
아 비트 미쳤다고 너무 좋아,1
나두 좋다 촷좐이라고 부르면 될까,1
누짱은 오전 수업이 좋아 오후 수업이 좋아 난 그냥 오전에 다 때려넣고 빨리 끝내는게 좋더라고,1
좋다 좋아,1
동햬는 세가지 모두 무기체임에 반해 혁쟤는 다 유기체인 것도 재밌고 둘 다 미래보다 현재가 좋다 했지만 저 세가지 소중한 것들로 추측해보아 동햬는 본인 이 이뤄낸 성취감 가득한 현재가 좋은데 혁쟤는 타인 과 맺는 관계에서 오는 안온함이 좋은 것,1
미스터션샤인 화까지봣는데 너무재미잇고 전개가 느린게 오히려 나는 잔잔하니 좋다,1
사랑에 빠지면 다 바보가 되는 걸 참 좋아하는데 살아온 세월이 긴 만큼 어떤 형태로든 사람을 많이 만나왔을 포레가 크롬 앞에서는 뚝딱거린다는게 좋아,1
라떼맛 쿠키의 라떼는 말이야 넘 좋다,1
돈 많니 좋아,1
아 진짜 계곡 그래 분위기랑 물은 맑구나 여기서 숙박하나 하면서 능이 백숙 먹음 여기가 내 년 단골집이야 년은 빼고 말해조요 능이 많이 먹어 몸에 좋아 년 동안 능이 많이 먹어서 몸이 그렇게 좋은가보,1
조규현 조규현 조규현 아 진짜 미쳤다 넘 좋다,1
브레이브걸스 롤린 음악방송 강제 소환 다음주부터 출격 공식 출처 스포츠 네이버 연예 헐 너무 좋아,1
둘이 온도차 다른게 좋다,1
엘파바가 날면서 가창력 뽐내는데 단순히 그런 장면인 게 아니라 엘파바가 그런 선택을 할 수밖에 없었던 상황과 엘파바의 마음이 너무 잘 전해져서 진짜 눈물난다 너무 좋다 진짜,1
난 둘 다 좋아,1
앟 진짜여 그분이 진짜 제 영화 봤대요 무명배우 특집으로 국공이 인터뷰하다가 대배우 태효가 실시간으로 자기 언급했다고 해서 좋아 죽는 것 같다 귀욤토리국공이 악역 해보고 싶다고 연기하던 중이었는데 그 말,1
매뉴얼즈가 좋다 지옥에서 올라온듯한 인상의 선역이라는 점이,1
아 죽었다 에서 소름 쫙 돋았다 미쳣다 분위기 너무 좋다,1
남사친이랑 바람나서 좋아,1
근디 각자 성 고유적으로 가지고 있는 것도 좋아 애들 이름 에드윈리 성 둘다 넣어 지으면 안되나 엘릭 뫄뫄 록벨,1
아니 미친 코로이카 권 지금 읽는데 븽븽 스컬 히어로 기어 미친거 아녀 넘 좋아,1
너무 좋아 새 이불 개시,1
친구 너는 남주가 좋아 서브남주가 좋아 나 서브남주 친구 짜장면이 좋아 단무지가 좋아 나 당근 짜장면이지 친구 그럼 남주를 좋아하는 거네 나 그럼 너는 짜장면 시켜두고 단무지만 먹냐,1
광기의 충성도 주종관계드림도 좋아 주종관계인데 사상대립하는드림도 좋아,1
신화 캐해 너무 좋아 하 미치겟다,1
아 좋아,1
부럽어 나는 다 끊어도 콜라는 못 끊나바 유전적으로 너무 조아해 사이다는 입도 안 대는데 콜라는 너무 좋아,1
나 대극장극 사랑하나 아 오랜만에 너무 좋다 옥정 넘 좋네 무도회씬부터 왜케 눈물남 경게는 정말 외국 킹카 넘 잘어울려 아 진짜 너무,1
오히려 좋아,1
유사 가족관계가 너무 좋아 이건 내 운명인거였지,1
저거보니까 생각남 코엑스 앞에도 저런 대따 큰 세로엘이디 간판 있는데 누가 거기에 김땡호 얼굴 박아줫음좋겟다 클수록 좋아,1
추미애 글 좋다 수사는 체포 구속 압수 등 본질적으로 인권 침해적 행위이므로 검사에 의해 엄격히 통제되어야하고 통제할 주체가 없는 검사는 직접 수사를 하지 않도록 해야합니다 그것이 우리 헌법이 정한 수사 기소 분,1
에가오노 마호 듣는데 넘 좋아 페테 보고 싶어,1
대가 끊긴 유도부의 희망이래 미쳐버려 아 너무 좋다 학교에서 밀어주는 신인 붕붕 우리 흥이는 정말 이종격투기 너무 어울려줍니다 그래서 좋아하는편,1
관종같고 좋다,1
너의 풀린 눈은 너무 좋아 섹트 오프 일탈,1
좋다,1
음 좋아,1
어쨌든 믾 필 온도 다른 고영상인거 좋다,1
같이 가요 너무 좋음 그냥 진짜 이거 그냥 와 진짜 그갼 엉으야엉양 내심장 우르륽쾅쾅와그잙우긁랅 이거임 그냥 존나 좋아 더 알지못해도 다 알수있어요,1
예를들면 본인이 굳이 의식하지 않더라도 같이 걷는 사람의 속도를 맞춰 걸을 수 있는 사람을 좋아함 내가 멈춰서면 곧잘 알아채고 같이 멈춰주는 사람이 좋다,1
정원이라는 사람한테 매일 위로 받는 내 삶 좋다,1
이머리 너무 좋아 푸른산호초 같은,1
아놔 제가 낄거예요 나와 보세요 비집고 들어가요 앜 다들 그렇나보네요 앤캐 그릴 때 아무래도 입꼬리 상승하는 편이죠 헤헤 좋다 루키최고 쫩쫩,1
더샤워라이브기원 일차 돌입,1
어디가서 좆같은 나의 취향말하기 뭐함 부치내서 부치 깔아먹는게 좋아 응,1
연예인 남자친구 나님은 엑소 디오 좋아,1
갬성사진 좋다,1
나 켄가토키 어떡하먄 좋아 안돌아가 노트북도 공기계도 다 느러 어더해,1
미쳤나봐 조유리 너무 좋아 진짜 천재같애,1
그냥 서로의 소중한 시간들을 늘려가는게 너무 좋아,1
진짜 넘 좋아 진짜 너무 예뻐,1
좋아 오늘 짜장면,1
나 진짜 러브 너무 좋아 어떡해,1
뭐지 진짜 이사람 뭐지 어쩜 고딩도 회사원도 잘 어울리냐 다 좋다,1
좋다 좋아 그저 좋거든,1
귀엽고 좋아,1
그랑 실시간 일러그리기 너무 좋다,1
좋다 근데 읽다보니 결론은 내가 나에 대해 잘 알고 있으면 그걸로 충분하다는거였어 굳이 여기 저기에 돈 쓰고 타인에게 나는 어떤 사람인가요 묻기 보다 그 시간에 나를 들여다보면 그걸로 된거구나 싶더라고,1
날씨가 너무 좋다 깜찍아 조은하루 보내,1
진짜 파란머리에요 빈이가 파란머리라고요 정말로요 흑흑흑 말로 표현 못할만큼 너무 좋다,1
안전해도 고죠는 무한을 안풀고있다는건 그만큼 주술고전도 완전히 믿고있지는 않다는걸까 아님 그 교류회때 사건땜에 더 바짝 신경쓰는건지,1
박서준 윤스테이 화 영상볼땐 마스크 팩만 보였는데 자세히 보니 자세 뭔일 머리말리면서도 운동하니 아님 복근힘이 좋아 편한거니 보통 양반다리 하지 않냐구,1
헉 좋아,1
년동안 일하면서 인피니트만큼 본업 잘하고 병크 안터진 연예인 어딨냐 지금 울림 보컬 좋다 뭐다 울림돌 모음 이런 울림 이미지 다 잉피가 만들어줬는데 진심 울림은 잉피랑 김성규한테 고마워해야함,1
내 손을 잡아 석순 네가 좋아 정말 못 견딜 만큼,1
오늘 날씨 왜이렇게 좋아,1
날 따라해봐요 이렇게 글쓴이 엠감동 역시 좋아 내동생들,1
말랐을 때 예민해보이는 얼굴이 좋아,1
귀멸의 칼날 사네미 미니타운 이벤트 요즘 천사분들을 많이 만나 뵈어 기분이 너무 좋아 알티 이벤트 열어봐요 월 일 일내 배송 시작입니다 기다려주실 수 있으신 분만 참여해주세요,1
옷을 너무 얇게 입었나 좀 춥긴 한데 좋다,1
아니 좋아 기상상태에 대해 쭉 열거하는 것도 해가 지는 황혼 아래에서 글 읽는 것 같은 기분도 잔잔한 표현 묘사 다 사랑해요진짜미쳐버릴거같음,1
나 얘 좋아,1
글방을 점심때 하니까 뭔가 오후 내내 여유롭고 좋다 아 날씨가 좋아서 그런가,1
자기 너무 변덕스러워 좋아 하으응,1
날 좋다,1
감초석류 감석 석류 앞에서 어쩔줄 몰라하는게 느껴지는 감초가 좋아,1
윰윰이 중앙본부팀장인게 별안간 좋다 세상 아담하고 까칠 고영 와기래티종인데 그 넓은 중앙본부 통솔하는 꽁보토미 최연소 팀장,1
옥파바 오늘 실수 하나도 없고 매우 클린했음 마법사와 나 때 진짜 좋고 밥맛송도 좋았음 편지들고 갈린다 생각하며 궁리하는거 너무 귀여워 갈린다랑 부딪히구 옷 털어내는것도 오즈도착해서부터,1
웅웅 짱 좋아,1
좋다 러브러브 나도하고싶다 러브러브,1
주연끼리 사이 좋은 거 진짜 좋다 둘이 워낙 원래부터 장꾸였긴한데 장꾸 둘이 붙으니까 더 웃김 좋은 분위기 속에서 좋은 작품이 나오는 건 당연하고,1
와 좋다 노래도 불러주네,1
기적의 세대에서 키세가 가장 소속감을 크게 여기는 캐릭터라는 점이 그리고 그게 꾸준하게 강조된다는 게 좋아 기적의 세대라는 이름에 집착하지 않는다 고 했잖아 얼핏 보면 소속감을 중요시하지 않는 건가 싶,1
좋아하는 것에는 좋아한다 소리지르는 편 너무 좋아 최고 좋아,1
미미친 파판의 이런 점이 너무 좋아 암울한건 암울하게 해주는데 그게 메인은 아님,1
저 양기 어쩌면 좋아,1
제발 우미랑 노조미가 너무 좋다,1
산책 했다 날씨 좋다,1
날씨랑 승우랑 다 너무 좋아,1
스모킹 디테일 드레스 원 올 봄 여름의 유니폼이 되어줄 친구이다 가슴 부분이 밴딩 처리되어 있어서 정말 편하다 소재가 정말 마음에 드는데 비스코스라고 되어있지만 이게 다른 말로 하면 인견,1
하 인장 스야리스 좋 요 좋아,1
전야는 언제 들어도 참 좋다,1
난 좋아,1
기적의 세대에서 키세가 가장 소속감을 크게 여기는 캐릭터라는 점이 그리고 그게 꾸준하게 강조된다는 게 좋아 기적의 세대라는 이름에 집착하지 않는다 고 했잖아 얼핏 보면 소속감을 중요시하지 않는 건가 싶을 수도,1
나도 여친 가져볼래 줭 연상 누나면 좋아 난 남이야 남자지만 신기하게도 애교가 좀 있는 성격이라 얼공은 자유야 히히 변도 가능해 성격은 상관없엉 여친 남친 연상 연하 선착순 애교 누나 동생 간절,1
요즘 저런 그림체가 좋아,1
영웅 활동 때 이 날 완전 내 최애임 날티 작렬이었다가 정장꾸였다가 올빽 딱복이었다가 정선배였다가 하루종일 좋아 죽는줄 알았음,1
와 진짜 너뭊 더 너무 좋다 냐롴 맛있다,1
좋아 주소,1
사촌 결혼식이라 시에 본가로 가서 엄마 픽업하고 다시 대치동까지 결혼식 갔다가 남편 회사동료 결혼식 땜에 명동까지 와서 헤어져서 나는 엄마 지하철로 본가 동네까지 다시 모셔다드리고 버스타고 집에 오니,1
용 웃는거 넘 해맑고 좋아,1
얼마전에 지정연 읽고 지금 가보연 보고 있으려니까 더 좋음 이런 느낌 너무 좋아 진짜,1
내가 글을 쓴다고 무슨 효과가 있겠냐 그냥 뒷방에 쭈글이 팬일뿐인데 그래도 안타까워서 쓴다 안다 그들이 진짜 주닐을 좋아한다는 것을 그래서 쓴다 나야 어차피 팔로워도 얼마안돼니 다 떨어져 나가도,1
좋다 이제 이계정에서 트친들과 알콩달콩 엘소드 덕질을할것이다,1
아 이장면 개미 밟고 지나가는데 안 죽은 거 무하한때문에 안 닿은 거 보여주는거야 이런 섬세한 연출 좋다 원작엔 없었잖아,1
전신 좋다 승훈 김승훈,1
밤을 달리다 너무 좋다,1
메기도하면서 생방 들을 수 있고 좋다 유튭 프리미엄,1
모차르트 노래 좋아 좋은데 연주하기 너무 힘들어,1
잔달라가 참 몸이 좋긴 좋아,1
좋아 나중에 행해 노트북 쓸 수 있을 때 행해,1
다들 바다 사진 보고 좋아해줘서 기분 좋아,1
신사 숙녀 뭐가 좋아,1
심층 고백 현실의 겜창지엠이 좋다,1
거기에 폐쇄공포증까지 도지는거지 좁은 공간에 물이 차오른다 그러면 얘 진짜 울고불고 난리도 아니겠지 총상 입고 위험한 상황 처해도 포커페이스 절대로 흐트리지 않던 키드가 고작 좁은 공간에서 무릎까,1
챠비는 부드럽게 쓰다듬어주는 손길이 좋아,1
보여줘서 좋아,1
좋다 말았네,1
팬들이 수고했다니까 여러분도 수고 많으셨습니다 다들 열심히 살고있죠라고 얘기해주는게 보통사람들의 수고로움도 잘아는것 같아서 좋아,1
아 팀슨 서로 보면서 웃는 거 너무 보고 싶어 팀슨이 서로를 너무 좋아해서 아무것도 못숨기고 아무 생각도 하지 않고 눈 마주치기만 해도 웃는 게 좋아,1
성찬아 너의 피지컬 너무 좋다,1
세이렌안경 너무 좋아 예전에 파트너 상점에 검정테 떠서 잔뜩 샀음 하나는 이미 끼고 있음,1
뱅드림 카스미 너무 좋다,1
시노부 줄곧 양파쿵야처럼 속을 모르겟는 온화한 귀살대 충주의 얼굴이엇는데 도우마랑 마주치자마자 카나에 동생 시노부로 돌아가서 인상 확 바뀌는거 너무너무너무너무너무 좋아,1
나 츠바사 너무 좋아,1
어느 세계관에서 어느 썰을 풀든 조희주는 정재철 집에선 정재철 티 중 젤 오버핏인 거 하나 입고 돌아다닐 것 같아서 걍 그게 좀 남친셔츠 꺄 이런 느낌이 아니라 안정감 때문인 게 좋아 좋은 냄새도 나고,1
경예로 초연부터 소취했는데 드디어 등장할 때부터 뭐 너무나 왕자님이구 피예로 첫번째 의상 민우혁 이후 가장 어울림 춤선 예뻐서 춤출 때마다 너무 좋아 더 많이 췄으면 좋겟는데 아쉽,1
릴캠 너무 좋다 지금 거짓말 안 하고 번 본 듯,1
밤에 허둥지둥 적어서 다시보니까 말이 좀 예의 없어 보이네요 뚀님 너무 좋아 사랑해 로 정정하겠습니다 뚀님이 잇으셔서 나는 행복해 저 아름다운 얼굴을 보니 미소가 절로 지어지내요 아 너무좋아,1
이 대사 정말 좋아해 빛전과 빛전과 동일한 혼을 가진 이들은 이렇게 될 수 밖에 없는 영혼인게 좋아,1
리스포 오케스트라 버전 너무 좋다 엉엉엉 진짜 리스포 천 년의 설렘 버튼,1
좋아 쮸 사랑해,1
님이 올려서 간만에 후루룩 봣는데 역시 좋다 중간에 얼음계인데 동상 달고사는 후룽이 꾸준히 좋음,1
나 제노가 좋다,1
도영이는 이기는 게 젤 좋아,1
깅남길 작품 안에서 누군갈 껴안을때 천천히 약하게 껴안는게 너무 좋아,1
노래 넘 좋아 너 내게로 와라 옴므,1
너무 좋다 우쩌냐,1
일본 술과 음식 너무 좋다,1
전에 핏단 믹스 끼고 했었는데 대인가 대 때렸는데도 안죽었었어여 런구 재밌죠 런구가 평타로 때려서 구린 손맛이 있어요 색적도 좋구 그리구 혹,1
좋아 평화롭게 친하게 지내야지,1
오야고 좋아,1
사실 올빽도 존나 잘생기긴했는데 덮백진 기다리구있었어서 최성에서 갑자기 차선이 되어버리니 그러나 뭔들 이제 머리만 안세워주면 누난 다 좋아,1
평소 이런 냉미남 분이 슩영이 앞에서는 하염없이 온미남이 되는 게 그의 깊이 모를 다정함일까 보기 좋다 석순아,1
아 파워보컬과 감성보컬이라니 오늘도 새삼 좋다 두 보컬은 같은 파트를 불러도 공기의 흐름 자체를 달리 한다 성뉸 보컬은 구심점 하나 찍고 그곳으로 강렬하게 확 꽂히는 느낌이라면 쥬챈 보컬은 식빵에 버터 바르듯 종이에,1
준희 음색 진짜 쩔어 좋다 진짜,1
오늘의 공연 더픽션 자둘 컷콜때 눈물 터져서 흐엉 오늘도 극 너무 좋다 이러고 보고 있었는데 후반 시작으로 컷콜때 감정이 훅 올라오 가지구 그래서 좋은데 슬프고 극이 끝난 상태인 거 아쉽,1
모니터 할 때 단체로 대진지맨 되는 거 너무 좋아,1
좋다 인터넷 문학작품 어때,1
태일 본 다음날 무작정 걷기 너무 좋다 오늘 날씨까지 완벽해,1
핫 난 좋아 자기 사람만 아끼고 자기는 내사람들 배신 안 해야지 이정도만 있고 진짜 최악 폭력적인 일엔 꼭 불려나갔을 것 같으니 너무나 무뎌졌겠네요 이걸 어케 갱생시키냐,1
알베도 픽업 아 얘만 뽑고 돈 모은다 감우 픽업 아 얘만 뽑고 돈 모은다 소 픽업 아 얘만 뽑고 돈 모은다 각청 픽업 아 얘만 뽑고 돈 모은다 호두 픽업 아 얘만 뽑고 돈 모은다 벤티 복각 아 얘만 뽑고,1
노먼 흑화삘 날 때마다 엠마가 질서선으로 구원하는 거 너무 좋다,1
두 보컬 모두 하얗게 타 버린 이후라고 가정한다면 아 또 이렇게 다를 수가 성윤 목소리는 하얗게 퍼지는 연기 같고 주찬 목소리는 잔열 품은 채 바스라지는 하이얀 재 같다고 느꼈다 아 난 두 보컬 모두 끈적이지 않고,1
그래서 이번에도 합쳐 보았다 메보즈의 같은 파트 다른 느낌 와 따로 들으면 그렇게 다를 수가 없는데 목소리 붙여 놓으니 놀라울 정도로 하나가 되는 와중에도 미묘한 차이가 있음 약간 둘이 만나니까 나이테 빽빽한 나무,1
렌고쿠라는 캐릭터는 재능도 있지만 스스로가 피나게 노력해서 꽃피운게 너무 좋음 노력하는 천재라는게 너무 좋다,1
아악 호석이 윙크 손키스 놀라는거 인이어빼는거 달리는거 노래하는거 춤추는거 테이프 목에 걸린거 사라지는거 다 봐야한다 백개 적을 수 있는데 진짜 초점 눈치없게 나가버렷지만 춤추고 노래하는 행복한 호석이 너무,1
